Timestep,1Hz,,
Voltage,Current,Bat_Temp,ambient_Temp
3.1964,-2.9841,31.431291,31.062163
3.1968,-3.0189,31.431213,31.067584
3.1966,-2.9473,31.443283,31.053261
3.1962,-2.9831,31.438571,31.05478
3.1969,-3.0088,31.434489,31.046664
3.1968,-2.99,31.427537,31.055108
3.1964,-3.0029,31.436067,31.065474
3.1972,-2.9728,31.43426,31.042402
3.1964,-3.0316,31.429408,31.045981
3.2493,0,31.42008,31.046549
3.2567,0,31.416314,31.06148
3.2606,0,31.434248,31.047156
3.2623,0,31.419499,31.056233
3.2642,0,31.424201,31.034906
3.2664,0,31.43795,31.061858
3.2664,0,31.441072,31.046283
3.2671,0,31.43076,31.037067
3.2706,0,31.420156,31.05579
3.2713,0,31.442905,31.067547
3.2723,0,31.431896,31.039304
3.2725,0,31.429598,31.048371
3.2744,0,31.41078,31.037246
3.2747,0,31.432542,31.04215
3.2753,0,31.419247,31.043149
3.2762,0,31.425679,31.04995
3.2759,0,31.42276,31.039698
3.2773,0,31.436296,31.038573
3.2779,0,31.437673,31.04215
3.2796,0,31.434867,31.048142
3.2792,0,31.408744,31.050241
3.2797,0,31.424126,31.036297
3.2798,0,31.412649,31.046082
3.2802,0,31.415897,31.043831
3.2794,0,31.431316,31.048256
3.2808,0,31.437091,31.050733
3.281,0,31.431266,31.052972
3.2813,0,31.442905,31.053249
3.2807,0,31.436372,31.034982
3.2827,0,31.441983,31.043895
3.2819,0,31.430659,31.053098
3.2829,0,31.431417,31.041391
3.2825,0,31.425264,31.053934
3.2841,0,31.43924,31.055449
3.2837,0,31.42621,31.050114
3.2839,0,31.426297,31.036637
3.2832,0,31.424744,31.046815
3.2838,0,31.43081,31.042251
3.2835,0,31.416239,31.055538
3.2842,0,31.429115,31.038722
3.2841,0,31.428687,31.048192
3.2831,0,31.424238,31.046675
3.2853,0,31.421066,31.037636
3.2851,0,31.425818,31.039457
3.2858,0,31.429685,31.052491
3.2847,0,31.424669,31.03904
3.2857,0,31.426728,31.030835
3.2864,0,31.433944,31.050885
3.2856,0,31.420106,31.040342
3.2856,0,31.420459,31.042528
3.2847,0,31.417907,31.059406
3.2863,0,31.42487,31.056107
3.2863,0,31.430267,31.060038
3.2858,0,31.419638,31.042807
3.2863,0,31.421091,31.038028
3.2885,0,31.42315,31.042287
3.2877,0,31.416997,31.043098
3.2879,0,31.403814,31.050809
3.2869,0,31.426373,31.052477
3.2859,0,31.414013,31.041946
3.2871,0,31.418259,31.051327
3.2879,0,31.419435,31.037471
3.2866,0,31.433829,31.054803
3.2882,0,31.42066,31.050429
3.2884,0,31.411133,31.042732
3.2876,0,31.429154,31.041694
3.2895,0,31.415265,31.0377
3.2888,0,31.410512,31.032579
3.2895,0,31.421027,31.046396
3.2886,0,31.414936,31.044702
3.2877,0,31.415554,31.046788
3.2894,0,31.417868,31.037003
3.2895,0,31.414177,31.051276
3.2897,0,31.424478,31.016852
3.2892,0,31.42157,31.032641
3.2892,0,31.415971,31.048671
3.2894,0,31.420901,31.022072
3.2896,0,31.435346,31.052287
3.2893,0,31.417817,31.039886
3.2889,0,31.436862,31.039139
3.29,0,31.42641,31.051781
3.2911,0,31.420559,31.044462
3.2892,0,31.421343,31.023615
3.291,0,31.421178,31.034449
3.2902,0,31.413014,31.036914
3.29,0,31.424667,31.027673
3.2903,0,31.412155,31.045587
3.2905,0,31.41079,31.047888
3.2896,0,31.424312,31.03905
3.29,0,31.419952,31.051187
3.2898,0,31.403712,31.037508
3.2899,0,31.406163,31.049125
3.2906,0,31.402032,31.033628
3.2898,0,31.418473,31.033576
3.2894,0,31.416919,31.044121
